source,target,Weight
东站(环城南路),董家湾(环城东路),1
东胤城乡公交羊桃箐车场,航城过渡农贸市场,1
东郊黄土坡,三农场(金瓦路),1
东郊黄土坡,白沙河,6
东郊黄土坡,花之城广场,3
东郊黄土坡,金瓦路口(景润路),1
东部公交枢纽站,青龙山,3
东部公交枢纽站,青龙村,1
东部公交枢纽站,青龙村(金瓦路),2
东部客运站,东部客运站公交站,1
东部客运站,昆明火车站,1
东部客运站公交站,青龙村(金瓦路),1
东陆桥(西华北路),丹霞路口(西园路),1
东陆桥(西华北路),卢家营,1
东陆桥(西华北路),昆五中,1
东陆桥(西华北路),西华北路,3
东陆桥(西园路),丹霞路口(西园路),2
东陆桥(西园路),卢家营,2
东陆桥(西园路),广宁路口(西园路),1
东陆桥(西园路),新闻路口(西园路),1
东陆桥(西园路),昆五中,3
东陆桥(西园路),西华园(西福路),1
东陆桥(西园路),西坝路口(西园路),1
东风广场(北京路),交三桥(人民东路),1
东风广场(北京路),交三桥(北京路),3
东风广场(北京路),塘子巷,1
东风广场(北京路),塘子巷(北京路),2
东风广场(北京路),昆明市实验中学,1
东风广场(北京路),白塔路口(人民东路),1
东风西路口,三合营社区,1
东骧神骏小区(东风东路),水木山居小区(金马路),2
东骧神骏小区(东风东路),金马寺(东风东路),3
东骧神骏小区(东风东路),黑土凹(金马路),2
两面寺,东部客运站,1
严家地(西园路),船房小区,4
严家山路口(司家营街),通源路口(司家营街),1
严家山路口(谷丰路),谷丰路口(严家山路),1
中北集团,平桥村,1
中北集团,平桥村(广福路),1
中北集团,渔堆村,1
中北集团,湖畔之梦小区,2
中医学院西门,雨花村,1
中医药大学兰茂堂,中医药大学学生公寓,1
中医药大学学生公寓,中医药大学体育馆,1
中医药大学紫竹苑,中医药大学兰茂堂,1
中卫村,左卫村(兴业街),1
中坝村,翠微里(青秀街),1
中坝村口,中坝村,1
中坝路口(小屯路),二环北路口(小屯路),1
中宁街,滇中新区中关村电子城,1
中林建材城北门,东聚路,1
中林建材城北门,昌宏西路地铁站,2
中航城(珥季路),中营(珥季路),1
中航城(珥季路),龙马村东(珥季路),1
中苜蓿村,中苜蓿村口,1
中苜蓿村口,苜蓿路,1
中营(云秀路),中营东,2
中营(云秀路),湾流海小区,2
中营(云秀路),龙马社区居委会,1
中营(珥季路),中航城(珥季路),1
中营(珥季路),后所村(珥季路),1
中营东,中营(云秀路),1
中营东,宝矣路口,2
中谊村,中谊村(中谊综合农贸市场),1
中谊村,古城,1
中谊村(中谊综合农贸市场),大渔路口(碧鸡路),1
中闸(广福路),广福路口(巫家坝路),1
中闸(广福路),昌宏路口(广福路),3
中闸(广福路),海边沟,2
丰宁小区,茭菱路口(近华浦路),2
丰宁小区,西园路口(茭菱路),1
丰宁小区,西苑立交桥北口,4
丰宁小区,鑫园小区,2
丰江路口(司家营街),严家山路口(司家营街),1
临时站,大板桥工业园,1
丹霞路口(西园路),人民西路口(西园路),3
丹霞路口(西园路),新闻路口(西园路),2
