出发站,到达站,出发站lng,出发站lat,到达站lng,到达站lat
昌宏西路口(环湖东路),环湖东路口(珥季路),102.714462,24.935794,102.721189,24.935595
环湖东路口(珥季路),龙马村(珥季路),102.721189,24.935595,102.727135,24.940638
龙马村(珥季路),龙马村东(珥季路),102.727135,24.940638,102.730365,24.94306
龙马村东(珥季路),中航城(珥季路),102.730365,24.94306,102.733673,24.945513
中航城(珥季路),中营(珥季路),102.733673,24.945513,102.738464,24.949097
中营(珥季路),后所村(珥季路),102.738464,24.949097,102.743073,24.952557
后所村(珥季路),季官村(珥季路),102.743073,24.952557,102.746793,24.955343
季官村(珥季路),宝象河(广福路),102.746793,24.955343,102.749835,24.956402
普自村,螺蛳湾公交枢纽站(怡安路),102.758646,24.946415,102.778234,24.929996
福保路南段,金湖路口(环湖东路),102.692001,24.941763,102.692169,24.954704
金湖路口(环湖东路),环湖东路口(金湖路),102.692169,24.954704,102.693031,24.956549
环湖东路口(金湖路),大赵家村(金湖路),102.693031,24.956549,102.699852,24.961151
大赵家村(金湖路),苏家地(金湖路),102.699852,24.961151,102.703278,24.965881
苏家地(金湖路),逸雅路口(金湖路),102.703278,24.965881,102.70533,24.97183
幸福邻里小区,羊方凹,102.785965,25.01083,102.785965,25.018038
羊方凹,天文台(金马路),102.785965,25.018038,102.78479,25.020756
金瓦路,金瓦路口(虹桥路),102.752934,25.03855,102.751467,25.040625
马街,西部客运站(昆州路),102.640013,25.034206,102.640694,25.035603
沙地村,华苑路口(昆州路),102.643329,25.039271,102.647539,25.041502
华苑路口(昆州路),张家村(昆州路),102.647539,25.041502,102.652275,25.04306
张家村(昆州路),海源南路口(昆州路),102.652275,25.04306,102.660027,25.042543
秋苑小区(昆州路),相益巷口(昆州路),102.667442,25.038164,102.667175,25.034672
相益巷口(昆州路),土堆村,102.667175,25.034672,102.670217,25.032921
土堆村,大观路口(近华浦路),102.670217,25.032921,102.678082,25.031832
大观路口(近华浦路),大观楼(大观路),102.678082,25.031832,102.675668,25.027057
张家庙村,陈家庄,102.717812,24.972687,102.720681,24.982426
陈家庄,向化村(双凤路),102.720681,24.982426,102.729214,24.982418
官渡区政府,秀河路,102.74908,24.94918,102.746732,24.951076
秀河路,季官路,102.746732,24.951076,102.749217,24.953487
季官路,官渡古镇(广福路),102.749217,24.953487,102.752472,24.953402
云秀路口(广福路),广福路口(星耀路),102.754405,24.951072,102.762169,24.950264
广福路口(星耀路),星耀路,102.762169,24.950264,102.766106,24.953064
星耀路,彩云北路口(广和路),102.766106,24.953064,102.769402,24.955473
彩云北路口(广和路),子君路口(广和路),102.769402,24.955473,102.772687,24.957812
子君路口(广和路),安和路口(广和路),102.772687,24.957812,102.775981,24.960221
安和路口(广和路),广居路口(子泰路)(源益便利店),102.775981,24.960221,102.779041,24.959839
广居路口(子泰路)(源益便利店),广居路口(子泰路),102.779041,24.959839,102.78033,24.959553
广居路口(子泰路),玉缘路地铁站,102.78033,24.959553,102.784032,24.96115
玉缘路地铁站,义路村口(玉缘路),102.784032,24.96115,102.787878,24.964766
